Channel,Time (s),Voltage (V)
CHANnel1,-0.008600000000000003,5.173866
CHANnel1,-0.0085,5.105066
CHANnel1,-0.008399999999999998,5.100533
CHANnel1,-0.008300000000000002,5.169333
CHANnel1,-0.008199999999999999,5.137333
CHANnel1,-0.008100000000000003,5.187733
CHANnel1,-0.008,5.169333
CHANnel1,-0.007899999999999997,5.201333
CHANnel1,-0.007800000000000001,5.215199
CHANnel1,-0.0076999999999999985,5.169333
CHANnel1,-0.007600000000000003,5.201333
CHANnel1,-0.0075,5.150933
CHANnel1,-0.007400000000000004,5.173866
CHANnel1,-0.007300000000000001,5.118933
CHANnel1,-0.007199999999999998,5.160266
CHANnel1,-0.007100000000000002,5.118933
CHANnel1,-0.006999999999999999,5.127999
CHANnel1,-0.006900000000000003,5.1648
CHANnel1,-0.0068000000000000005,5.146399
CHANnel1,-0.006699999999999998,5.192266
CHANnel1,-0.006600000000000002,5.210666
CHANnel1,-0.006499999999999999,5.160266
CHANnel1,-0.006400000000000003,5.173866
CHANnel1,-0.0063,5.215199
CHANnel1,-0.006200000000000004,5.150933
CHANnel1,-0.006100000000000001,5.196799
CHANnel1,-0.005999999999999998,5.1784
CHANnel1,-0.0059000000000000025,5.114399
CHANnel1,-0.0058,5.141866
CHANnel1,-0.005700000000000004,5.096
CHANnel1,-0.005600000000000001,5.100533
CHANnel1,-0.005499999999999998,5.192266
CHANnel1,-0.005400000000000002,5.173866
CHANnel1,-0.005299999999999999,5.238133
CHANnel1,-0.005200000000000003,5.265599
CHANnel1,-0.0051,5.215199
CHANnel1,-0.0049999999999999975,5.238133
CHANnel1,-0.004900000000000002,5.127999
CHANnel1,-0.004799999999999999,5.141866
CHANnel1,-0.004700000000000003,5.105066
CHANnel1,-0.0046,5.091199
CHANnel1,-0.004500000000000004,5.137333
CHANnel1,-0.004400000000000001,5.114399
CHANnel1,-0.004299999999999998,5.141866
CHANnel1,-0.004200000000000002,5.150933
CHANnel1,-0.0040999999999999995,5.105066
CHANnel1,-0.0040000000000000036,5.132533
CHANnel1,-0.0039000000000000007,5.100533
CHANnel1,-0.003799999999999998,5.105066
CHANnel1,-0.003700000000000002,5.169333
CHANnel1,-0.003599999999999999,5.169333
CHANnel1,-0.003500000000000003,5.219733
CHANnel1,-0.0034000000000000002,5.215199
CHANnel1,-0.0032999999999999974,5.256533
CHANnel1,-0.0032000000000000015,5.229066
CHANnel1,-0.0030999999999999986,5.146399
CHANnel1,-0.0030000000000000027,5.1784
CHANnel1,-0.0029,5.100533
CHANnel1,-0.002800000000000004,5.100533
CHANnel1,-0.002700000000000001,5.160266
CHANnel1,-0.002599999999999998,5.146399
CHANnel1,-0.0025000000000000022,5.187733
CHANnel1,-0.0023999999999999994,5.169333
CHANnel1,-0.0023000000000000034,5.210666
CHANnel1,-0.0022000000000000006,5.215199
CHANnel1,-0.0020999999999999977,5.169333
CHANnel1,-0.0020000000000000018,5.206133
CHANnel1,-0.001899999999999999,5.146399
CHANnel1,-0.001800000000000003,5.1784
CHANnel1,-0.0017000000000000001,5.137333
CHANnel1,-0.0015999999999999973,5.127999
CHANnel1,-0.0015000000000000013,5.183199
CHANnel1,-0.0013999999999999985,5.173866
CHANnel1,-0.0013000000000000025,5.123466
CHANnel1,-0.0011999999999999997,5.146399
CHANnel1,-0.0011000000000000038,5.192266
CHANnel1,-0.0010000000000000009,5.160266
CHANnel1,-0.000899999999999998,5.224266
CHANnel1,-0.0008000000000000021,5.224266
CHANnel1,-0.0006999999999999992,5.169333
CHANnel1,-0.0006000000000000033,5.210666
CHANnel1,-0.0005000000000000004,5.160266
CHANnel1,-0.0003999999999999976,5.173866
CHANnel1,-0.00030000000000000165,5.123466
CHANnel1,-0.0001999999999999988,5.150933
CHANnel1,-0.00010000000000000286,5.100533
CHANnel1,0.0,5.105066
CHANnel1,0.00010000000000000286,5.206133
CHANnel1,0.0001999999999999988,5.183199
CHANnel1,0.00030000000000000165,5.256533
CHANnel1,0.0003999999999999976,5.256533
CHANnel1,0.0005000000000000004,5.201333
CHANnel1,0.0005999999999999964,5.238133
CHANnel1,0.0006999999999999992,5.123466
CHANnel1,0.0008000000000000021,5.150933
CHANnel1,0.000899999999999998,5.091199
CHANnel1,0.0010000000000000009,5.141866
CHANnel1,0.0010999999999999968,5.100533
CHANnel1,0.0011999999999999997,5.105066
CHANnel1,0.0013000000000000025,5.146399
CHANnel1,0.0013999999999999985,5.137333
CHANnel1,0.0015000000000000013,5.091199
CHANnel1,0.0015999999999999973,5.100533
CHANnel1,0.0017000000000000001,5.137333
CHANnel1,0.001800000000000003,5.146399
CHANnel1,0.001899999999999999,5.100533
CHANnel1,0.0020000000000000018,5.160266
CHANnel1,0.0020999999999999977,5.219733
CHANnel1,0.0022000000000000006,5.229066
CHANnel1,0.0022999999999999965,5.251999
CHANnel1,0.0023999999999999994,5.238133
CHANnel1,0.0025000000000000022,5.137333
CHANnel1,0.002599999999999998,5.150933
CHANnel1,0.002700000000000001,5.096
CHANnel1,0.002799999999999997,5.086666
CHANnel1,0.0029,5.169333
CHANnel1,0.0030000000000000027,5.137333
CHANnel1,0.0030999999999999986,5.196799
CHANnel1,0.0032000000000000015,5.173866
CHANnel1,0.0032999999999999974,5.196799
CHANnel1,0.0034000000000000002,5.206133
CHANnel1,0.003500000000000003,5.1648
CHANnel1,0.003599999999999999,5.196799
CHANnel1,0.003700000000000002,5.150933
CHANnel1,0.003799999999999998,5.1784
CHANnel1,0.0039000000000000007,5.127999
CHANnel1,0.003999999999999997,5.132533
CHANnel1,0.0040999999999999995,5.169333
CHANnel1,0.004200000000000002,5.137333
CHANnel1,0.004299999999999998,5.173866
CHANnel1,0.004400000000000001,5.137333
CHANnel1,0.004499999999999997,5.192266
CHANnel1,0.0046,5.173866
CHANnel1,0.004700000000000003,5.215199
CHANnel1,0.004799999999999999,5.173866
CHANnel1,0.004900000000000002,5.215199
CHANnel1,0.0049999999999999975,5.210666
CHANnel1,0.0051,5.146399
CHANnel1,0.005200000000000003,5.173866
CHANnel1,0.005299999999999999,5.105066
CHANnel1,0.005400000000000002,5.137333
CHANnel1,0.005499999999999998,5.096
CHANnel1,0.005600000000000001,5.100533
CHANnel1,0.005699999999999997,5.183199
CHANnel1,0.0058,5.183199
CHANnel1,0.0059000000000000025,5.242666
