ConfigNumber,InputState_Heater36,InputState_Heater37,Output1,Output2,Output3,Output4
231,4.9,4.9,2.077,3.769,0.7659,6.024
233,0.1,0.1,7.0,2.046,5.44,2.574
233,0.1,4.9,6.435,1.547,1.856,3.704
233,4.9,0.1,4.151,1.936,7.037,0.6459
233,4.9,4.9,3.486,2.233,6.522,7.925
256,0.1,0.1,1.83,1.863,7.033,4.808
256,0.1,4.9,1.798,1.991,7.019,5.182
256,4.9,0.1,3.49,2.919,3.893,8.857
256,4.9,4.9,3.385,3.718,4.802,9.425
259,0.1,0.1,3.004,6.872,1.091,1.966
259,0.1,4.9,1.33,6.827,2.01,3.137
259,4.9,0.1,0.8251,6.699,1.797,2.898
259,4.9,4.9,0.5267,6.872,3.273,1.214
264,0.1,0.1,1.105,2.53,4.15,7.799
264,0.1,4.9,2.041,5.716,2.173,7.258
264,4.9,0.1,1.958,5.465,1.789,7.74
264,4.9,4.9,2.504,3.467,1.607,9.429
281,0.1,0.1,5.289,2.909,1.607,1.655
281,0.1,4.9,5.215,2.873,6.983,2.844
281,4.9,0.1,2.321,6.941,1.707,2.249
281,4.9,4.9,2.633,6.909,4.277,0.9973
285,0.1,0.1,2.114,3.12,7.033,5.627
285,0.1,4.9,4.403,2.146,7.024,3.38
285,4.9,0.1,1.022,5.57,7.001,3.024
285,4.9,4.9,6.146,1.401,4.218,0.9072
286,0.1,0.1,6.33,3.842,4.476,0.4568
286,0.1,4.9,4.16,3.143,1.39,2.997
286,4.9,0.1,6.968,3.659,0.9557,2.921
286,4.9,4.9,6.991,0.8389,2.128,5.808
299,0.1,0.1,0.9075,1.447,7.055,4.911
299,0.1,4.9,1.348,2.347,5.49,3.002
299,4.9,0.1,1.977,2.594,1.241,9.055
299,4.9,4.9,2.009,2.562,1.25,9.384
302,0.1,0.1,1.742,5.245,3.933,9.425
302,0.1,4.9,3.802,5.012,3.232,9.447
302,4.9,0.1,3.706,6.964,2.689,1.245
302,4.9,4.9,4.389,6.941,2.576,1.349
303,0.1,0.1,5.628,5.122,2.865,7.83
303,0.1,4.9,0.4349,3.367,7.019,5.164
303,4.9,0.1,2.665,3.133,7.019,4.916
303,4.9,4.9,1.371,5.506,1.141,9.429
304,0.1,0.1,3.669,5.03,1.793,9.438
304,0.1,4.9,4.541,2.242,7.033,8.839
304,4.9,0.1,4.596,3.225,7.051,4.628
304,4.9,4.9,2.284,5.14,7.046,2.299
307,0.1,0.1,4.963,6.013,4.205,1.849
307,0.1,4.9,1.362,6.959,2.282,8.573
307,4.9,0.1,6.954,0.9029,3.074,9.42
307,4.9,4.9,0.4808,4.308,7.015,4.911
313,0.1,0.1,6.683,1.936,2.454,3.321
313,0.1,4.9,6.991,0.7339,2.454,3.321
313,4.9,0.1,0.724,2.137,4.309,3.281
313,4.9,4.9,4.408,1.991,2.68,6.772
315,0.1,0.1,4.564,6.936,0.9829,4.285
315,0.1,4.9,1.385,1.154,1.35,4.664
315,4.9,0.1,5.445,2.635,0.5168,0.3488
315,4.9,4.9,5.536,2.599,0.5304,1.808
316,0.1,0.1,1.779,2.983,7.015,1.885
316,0.1,4.9,1.674,6.886,2.259,4.709
316,4.9,0.1,6.518,2.306,3.001,5.407
316,4.9,4.9,2.334,1.817,7.051,8.839
321,0.1,0.1,2.811,0.4779,6.639,3.803
321,0.1,4.9,2.605,0.4824,6.961,1.713
321,4.9,0.1,2.293,1.657,5.11,1.087
321,4.9,4.9,1.577,4.367,6.141,3.159
337,0.1,0.1,2.311,5.058,1.336,6.263
337,0.1,4.9,1.719,1.392,1.49,4.069
337,4.9,0.1,1.793,3.316,1.811,1.93
337,4.9,4.9,0.7424,2.813,5.73,2.529
348,0.1,0.1,7.004,2.315,2.105,3.943
348,0.1,4.9,6.899,3.842,2.544,4.826
348,4.9,0.1,2.467,0.8251,2.467,9.443
348,4.9,4.9,5.876,6.923,1.015,4.029
349,0.1,0.1,5.073,6.941,1.711,3.357
349,0.1,4.9,1.701,6.959,2.874,4.393
349,4.9,0.1,7.023,2.105,3.888,2.056
349,4.9,4.9,7.027,1.909,1.815,8.564
350,0.1,0.1,1.362,1.351,2.042,8.722
350,0.1,4.9,2.421,1.374,2.114,8.767
